N,P,K,temperature,humidity,pH,rainfall,crop
56.45,26.36,56.81,19.69,56.07,7.47,252.06,Barley
62.06,25.91,42.6,18.1,55.9,6.97,242.42,Pulses
93.97,32.11,50.79,31.5,82.2,6.61,1351.6,Rice
62.59,23.25,33.81,32.57,37.06,6.72,540.77,Millet
83.38,36.08,66.01,26.04,71.79,7.26,355.26,Tomato
114.96,37.04,47.82,29.37,46.49,6.57,503.81,Cotton
63.18,28.18,67.42,26.81,69.17,6.37,1308.71,Rice
122.69,28.56,40.59,27.22,69.95,6.64,473.4,Maize
38.24,25.91,45.29,18.98,49.92,6.86,323.04,Gram
64.86,24.52,65.97,18.22,61.65,6.71,394.81,Wheat
79.34,23.69,57.26,26.33,85.16,7.13,1300.62,Rice
40.0,24.14,35.18,29.03,55.01,6.3,380.08,Groundnut
21.86,23.37,34.66,18.24,69.68,7.05,281.45,Pulses
28.66,19.83,23.1,32.84,37.4,6.71,479.43,Millet
98.93,29.36,66.56,29.1,94.59,6.13,1378.1,Rice
44.65,22.51,39.45,21.73,49.43,7.11,358.41,Wheat
56.82,28.96,27.81,23.34,43.53,6.9,340.76,Barley
63.02,26.32,27.94,27.76,58.73,5.96,550.58,Millet
85.61,29.15,76.34,30.24,51.73,6.9,593.18,Cotton
93.74,26.12,71.19,30.02,62.84,7.47,642.06,Cotton
32.8,26.55,44.97,17.92,57.13,7.1,362.21,Gram
26.38,18.01,33.92,30.23,40.3,6.7,522.93,Millet
149.54,60.86,100.0,24.77,57.06,6.73,1098.12,Sugarcane
132.27,30.53,64.99,23.81,68.47,7.44,393.94,Maize
83.48,29.78,58.96,28.76,54.52,7.11,702.1,Cotton
64.95,21.51,54.34,22.74,66.76,6.95,313.66,Barley
156.91,64.26,98.77,19.65,74.13,6.73,1065.62,Sugarcane
73.73,23.42,50.21,18.05,43.76,6.99,232.41,Wheat
67.95,32.58,63.2,19.18,61.15,6.96,356.21,Onion
30.47,26.42,29.02,29.01,41.51,6.67,493.57,Millet
63.9,28.13,78.97,20.53,45.71,7.09,336.19,Wheat
57.42,32.18,46.34,24.1,55.67,6.6,460.56,Tomato
104.43,29.15,40.76,25.48,69.38,6.83,418.46,Maize
99.05,38.05,56.64,27.69,91.85,6.8,1406.56,Rice
103.57,33.83,48.16,25.98,80.15,6.46,410.95,Corn
77.23,20.26,35.92,20.25,54.98,7.35,369.32,Barley
43.27,32.44,66.63,28.34,78.24,7.26,458.8,Soybean
62.69,35.72,71.77,24.55,71.4,6.71,453.14,Corn
51.94,13.18,27.47,31.75,47.46,7.13,459.52,Millet
147.24,45.61,77.91,21.13,72.13,7.72,462.99,Sugarbeet
79.21,39.04,66.01,28.41,48.78,7.06,501.41,Cotton
66.05,16.51,43.46,24.14,59.71,6.48,400.15,Groundnut
42.3,28.51,54.96,26.14,64.54,6.82,409.86,Soybean
63.74,24.29,60.6,28.18,86.81,6.75,1380.25,Rice
28.81,14.8,54.03,26.17,63.95,5.84,408.66,Groundnut
80.83,28.07,43.46,16.98,65.7,6.62,294.65,Onion
124.46,44.72,83.54,23.78,46.02,7.2,470.02,Sugarbeet
82.84,28.28,80.73,21.73,70.54,6.13,469.59,Tomato
147.85,60.77,82.65,20.0,58.84,7.2,423.27,Sugarbeet
51.19,29.83,37.37,18.76,47.2,7.15,273.7,Pulses
101.12,24.26,76.25,25.45,67.89,6.81,389.62,Tomato
57.13,18.72,22.74,28.38,58.46,6.05,384.59,Groundnut
52.59,23.47,36.63,18.94,38.09,6.99,304.41,Gram
60.66,35.56,59.97,19.76,73.83,6.5,237.0,Onion
56.54,24.57,37.86,23.74,58.29,6.43,294.25,Pulses
46.38,29.69,23.97,19.94,57.27,6.76,310.45,Barley
48.89,17.34,48.12,24.19,56.01,5.88,438.82,Groundnut
62.55,29.05,58.03,24.25,73.99,6.45,447.51,Tomato
123.54,61.17,74.3,20.39,63.82,6.82,419.48,Sugarbeet
32.28,28.83,40.84,21.81,59.79,6.73,376.46,Pulses
51.48,20.29,36.12,25.56,37.09,6.73,445.58,Groundnut
43.41,20.83,34.66,21.85,51.81,6.87,388.51,Pulses
102.12,28.07,32.66,22.37,83.16,7.32,459.71,Corn
51.03,20.25,35.33,32.07,52.22,6.94,526.88,Millet
117.05,47.12,89.2,20.96,54.78,7.1,483.93,Sugarbeet
50.84,26.02,44.23,20.64,49.63,7.21,357.26,Barley
83.57,29.65,53.11,18.37,53.89,6.75,261.16,Onion
99.32,24.13,51.8,19.05,65.7,7.15,284.94,Onion
53.04,16.28,42.83,24.29,54.09,6.52,340.68,Groundnut
89.67,26.43,49.23,25.27,60.49,6.89,492.17,Corn
104.41,38.89,59.42,24.71,73.26,6.85,493.04,Corn
101.0,34.79,59.31,23.9,64.49,6.64,555.6,Maize
83.18,48.05,70.59,24.61,75.47,7.37,422.47,Sugarbeet
108.84,23.58,51.26,31.85,79.42,6.55,1315.6,Rice
43.42,20.74,45.36,21.23,50.57,6.82,273.88,Pulses
83.86,24.28,31.98,33.5,44.96,6.69,503.52,Millet
42.05,20.7,25.18,28.49,39.62,6.95,554.42,Millet
125.84,47.96,78.55,20.94,54.62,7.49,457.41,Sugarbeet
114.53,53.34,76.15,19.28,65.75,7.53,454.93,Sugarbeet
99.08,23.23,66.17,26.03,77.73,6.8,380.8,Corn
29.98,24.4,26.57,29.24,33.77,7.17,580.94,Millet
88.21,37.3,67.42,21.24,73.69,6.77,339.14,Tomato
36.96,24.64,52.76,26.23,76.77,6.75,435.27,Soybean
59.29,14.25,35.67,26.63,57.46,6.63,386.6,Groundnut
62.18,33.46,45.15,20.02,48.86,7.03,299.02,Wheat
104.5,32.98,61.09,25.12,66.73,6.69,420.06,Maize
32.44,32.4,22.19,20.17,74.18,6.38,538.86,Soybean
99.74,28.13,49.56,30.37,63.39,7.3,581.59,Cotton
78.79,31.22,32.56,22.74,59.53,6.96,308.65,Barley
48.39,20.27,29.53,19.39,53.16,6.51,241.41,Pulses
109.96,43.6,87.36,23.12,65.39,7.42,422.01,Sugarbeet
150.24,67.12,100.0,26.23,80.62,6.56,1060.57,Sugarcane
40.45,23.01,33.23,18.09,52.11,6.58,141.85,Gram
74.21,30.59,55.2,19.8,61.5,6.73,257.99,Wheat
79.19,25.83,35.19,20.47,57.47,6.49,266.42,Gram
44.54,30.93,54.37,25.09,68.81,7.22,487.49,Soybean
112.73,25.77,70.81,18.08,58.61,6.72,333.89,Onion
41.85,32.72,48.71,19.4,52.14,6.93,283.43,Wheat
123.09,39.37,89.19,19.75,66.07,7.04,345.05,Sugarbeet
67.15,26.6,40.66,22.95,53.29,7.25,249.79,Barley
86.68,26.6,42.32,29.52,86.68,7.01,1325.41,Rice
89.35,29.99,67.86,21.67,61.27,6.1,229.85,Onion
92.64,20.75,54.82,21.45,68.91,6.68,491.76,Maize
84.25,25.85,34.71,31.86,72.42,6.43,1422.63,Rice
11.16,24.09,51.54,15.34,60.86,6.92,277.84,Gram
92.69,39.37,54.61,24.97,73.85,6.78,442.4,Tomato
98.17,31.85,78.46,19.73,51.39,6.19,336.5,Onion
59.24,26.3,61.95,23.57,57.22,6.87,261.72,Pulses
84.79,23.13,61.97,16.11,54.27,7.06,295.66,Onion
32.06,20.83,20.9,27.62,60.81,5.94,442.2,Groundnut
54.12,31.83,38.49,23.21,63.02,6.86,526.11,Soybean
5.75,25.43,46.68,20.95,39.54,6.89,280.24,Gram
59.15,38.22,52.18,29.82,77.59,6.48,1349.12,Rice
93.51,31.57,74.42,27.0,66.09,6.79,420.45,Corn
35.06,34.83,35.74,19.66,45.51,6.93,375.3,Pulses
53.95,20.23,34.72,27.04,52.87,6.75,423.0,Groundnut
108.27,28.24,85.94,28.7,68.45,6.98,486.95,Corn
25.69,29.7,49.89,25.28,67.2,6.54,488.84,Soybean
54.94,37.71,63.03,21.63,68.39,6.83,352.73,Onion
77.37,32.54,46.22,29.95,81.93,6.38,1451.2,Rice
42.46,27.71,46.92,21.24,64.29,6.98,303.73,Gram
44.65,10.53,53.99,29.83,55.82,6.51,315.22,Groundnut
44.22,25.57,37.79,18.21,49.3,6.72,249.89,Gram
126.8,44.15,69.98,15.2,70.17,7.44,440.87,Sugarbeet
140.27,59.9,100.0,23.03,70.55,7.17,1035.05,Sugarcane
95.16,26.23,55.06,29.55,65.27,6.17,413.54,Corn
96.53,29.89,61.42,29.06,80.75,6.18,1381.82,Rice
62.58,26.87,46.1,18.91,46.5,6.56,346.57,Pulses
78.66,39.46,60.93,27.09,58.12,6.58,430.64,Maize
76.94,30.74,65.65,19.25,78.11,6.95,264.6,Onion
27.6,18.61,58.81,27.59,51.27,6.81,364.58,Groundnut
110.88,31.31,57.75,16.43,60.28,7.08,310.02,Onion
98.22,30.59,65.0,21.83,77.7,5.99,539.21,Maize
60.7,22.54,41.87,17.7,54.34,7.25,364.84,Barley
124.67,60.78,100.0,20.7,81.92,6.36,1131.69,Sugarcane
104.36,25.45,55.96,18.07,50.31,6.46,283.72,Onion
32.79,20.86,32.43,27.99,74.6,6.23,431.74,Groundnut
82.17,24.94,67.67,15.07,70.18,7.31,344.24,Wheat
30.64,16.26,51.18,23.93,64.4,6.15,306.79,Groundnut
100.05,28.94,58.63,29.83,66.32,6.47,611.5,Cotton
63.97,17.8,39.61,27.28,36.55,6.36,580.72,Millet
82.51,32.88,59.95,27.2,51.3,7.21,601.22,Cotton
30.93,21.44,18.24,21.34,52.89,6.7,398.62,Groundnut
45.39,28.24,30.84,20.19,39.66,6.81,242.75,Gram
71.42,37.81,68.49,21.36,64.41,6.36,316.77,Onion
121.15,32.78,57.21,23.16,70.96,6.67,521.29,Corn
147.01,57.66,98.98,22.1,70.15,6.97,1010.02,Sugarcane
44.35,28.22,49.78,19.78,44.8,7.02,338.37,Pulses
103.15,28.78,58.28,24.66,48.36,6.91,554.64,Corn
110.69,22.68,60.07,24.76,62.22,6.95,488.95,Corn
86.96,28.18,49.08,32.37,55.55,6.82,606.57,Cotton
43.75,19.94,18.27,21.15,55.35,6.63,229.95,Pulses
37.1,29.03,48.5,21.76,47.9,6.55,393.45,Gram
69.4,28.26,57.67,24.9,90.85,6.87,444.49,Soybean
42.18,30.83,42.41,23.29,39.55,6.45,320.83,Gram
57.84,30.25,42.93,19.38,39.45,6.94,309.85,Barley
136.28,44.97,84.29,18.44,53.84,6.98,466.5,Sugarbeet
77.02,33.36,58.94,23.94,57.7,6.72,342.18,Tomato
72.22,25.74,33.09,34.71,68.39,6.6,1345.62,Rice
68.8,27.32,66.31,17.49,63.4,6.57,298.6,Wheat
57.44,20.61,46.65,32.68,53.09,6.73,543.79,Millet
95.41,25.11,70.5,28.87,54.72,6.85,684.29,Cotton
7.81,18.81,25.93,21.04,51.58,6.2,229.14,Pulses
99.52,54.59,63.64,25.41,68.01,7.21,526.2,Sugarbeet
106.38,31.41,55.51,26.24,73.31,7.7,472.77,Maize
105.28,35.83,60.79,25.66,67.92,6.11,384.05,Tomato
149.29,50.2,77.5,20.64,63.43,7.74,436.31,Sugarbeet
31.79,26.46,61.32,19.58,53.94,6.55,263.32,Pulses
39.2,16.54,23.36,32.82,39.63,6.84,538.49,Millet
69.73,28.05,47.89,20.52,51.69,6.96,330.59,Wheat
145.85,51.47,74.24,18.85,71.72,6.69,502.06,Sugarbeet
24.16,25.16,37.96,27.77,40.05,6.28,470.64,Millet
80.2,33.12,49.22,29.46,99.29,6.47,1283.38,Rice
157.39,59.81,100.0,23.93,70.68,7.13,1085.41,Sugarcane
116.66,23.42,63.08,22.6,61.83,6.64,450.0,Corn
64.67,13.74,29.83,29.6,38.03,6.69,493.22,Millet
82.23,28.04,72.97,33.92,48.72,6.83,596.18,Cotton
148.95,61.26,92.96,26.19,82.76,6.92,977.98,Sugarcane
76.62,31.45,52.56,29.79,70.85,6.82,610.42,Cotton
151.4,55.49,100.0,25.23,72.98,6.76,953.78,Sugarcane
145.81,71.97,97.54,24.19,65.1,6.03,1047.1,Sugarcane
30.81,21.17,15.48,24.26,47.56,7.26,513.55,Groundnut
17.87,24.51,29.11,18.58,63.15,6.78,340.39,Pulses
99.15,27.51,53.32,24.81,80.57,6.91,380.47,Tomato
37.07,19.73,25.94,30.63,46.56,6.42,548.73,Millet
65.38,14.1,31.95,31.07,40.86,6.69,419.05,Groundnut
48.88,29.8,39.48,17.14,58.01,6.54,281.67,Pulses
33.62,16.42,40.33,17.02,64.42,6.9,256.17,Pulses
118.02,25.05,59.77,24.83,66.66,6.72,495.43,Maize
130.41,53.83,72.22,19.66,57.74,7.96,543.82,Sugarbeet
44.18,30.23,51.3,21.63,40.6,6.95,257.11,Wheat
49.18,32.02,55.81,26.34,79.66,6.78,510.53,Soybean
37.49,36.55,52.38,25.48,65.26,7.29,490.0,Soybean
95.38,27.88,50.69,19.53,65.52,7.15,297.94,Onion
104.25,27.76,68.59,26.11,57.71,7.48,457.1,Corn
67.18,25.59,67.03,25.02,67.59,7.11,459.95,Tomato
72.85,32.37,53.91,28.73,79.31,6.63,1396.88,Rice
114.03,40.32,54.99,26.09,70.25,7.19,393.62,Maize
82.4,20.06,24.77,32.62,45.36,6.85,405.56,Millet
54.82,19.52,46.2,21.02,46.81,6.22,284.61,Pulses
188.0,65.32,100.0,23.43,71.86,7.21,1110.78,Sugarcane
30.1,18.32,37.84,24.11,59.83,6.93,461.16,Groundnut
88.16,32.08,70.84,22.37,68.65,6.55,415.21,Maize
127.5,48.57,69.77,18.85,63.33,7.29,396.61,Sugarbeet
58.42,27.33,43.69,20.94,66.61,7.26,294.98,Pulses
32.92,32.75,53.19,26.36,57.33,6.59,464.47,Soybean
27.25,20.99,22.84,31.16,44.4,6.45,481.2,Millet
63.45,22.77,35.84,17.32,63.29,6.94,308.48,Barley
77.63,26.95,84.57,19.7,62.79,7.01,321.55,Onion
42.46,24.97,39.59,30.51,72.92,6.65,1369.93,Rice
96.14,31.56,52.99,25.01,66.2,6.77,477.14,Maize
83.55,27.29,48.1,22.06,63.54,7.42,313.69,Wheat
84.45,23.33,47.84,22.44,67.69,6.91,436.85,Soybean
26.0,25.67,37.46,21.01,50.44,6.92,280.7,Gram
47.78,28.45,29.58,22.76,54.96,7.08,163.71,Gram
90.66,39.16,58.98,17.91,47.26,7.14,260.97,Wheat
57.61,23.01,12.11,32.8,55.35,6.92,531.64,Millet
122.62,33.62,74.74,29.3,66.66,6.27,380.77,Corn
93.64,33.32,43.49,19.34,53.54,6.73,239.18,Wheat
90.49,31.04,66.58,17.12,65.95,6.7,311.03,Onion
69.76,20.61,32.55,16.71,57.27,6.85,305.48,Barley
71.91,26.99,63.87,28.0,49.08,7.32,650.24,Cotton
88.83,32.0,71.34,30.22,57.54,6.95,578.96,Cotton
71.16,31.95,47.4,17.79,49.46,6.57,345.14,Wheat
38.14,18.63,29.31,27.31,51.46,6.12,470.57,Groundnut
44.43,27.13,15.71,29.03,29.95,7.01,478.44,Millet
78.46,31.85,68.55,26.64,65.5,6.62,439.93,Corn
96.02,48.86,71.19,19.2,56.42,7.53,343.51,Sugarbeet
75.72,33.43,51.58,26.43,45.77,6.92,714.79,Cotton
136.09,51.23,77.63,23.67,72.27,7.0,455.51,Sugarbeet
100.26,25.66,44.67,23.54,66.27,6.39,438.47,Corn
55.93,21.92,47.03,26.23,58.14,6.99,532.31,Soybean
27.11,19.73,39.84,17.64,69.25,7.06,312.5,Pulses
90.33,33.45,53.34,28.32,46.03,6.96,512.57,Cotton
63.21,33.95,41.48,27.29,65.54,6.56,520.6,Soybean
92.89,31.23,46.52,24.72,72.6,6.48,340.82,Tomato
105.84,22.78,67.08,21.74,73.28,7.37,506.62,Maize
92.22,38.62,58.2,25.32,63.18,7.07,496.56,Corn
114.63,27.59,64.58,25.29,66.86,6.35,516.28,Corn
24.95,35.04,53.53,25.9,84.81,6.31,455.59,Soybean
124.2,60.45,99.86,22.83,80.93,7.15,1065.4,Sugarcane
138.45,52.07,88.45,18.15,68.48,7.07,500.33,Sugarbeet
123.02,27.94,60.07,27.24,57.0,6.81,542.91,Cotton
46.34,25.65,35.58,20.24,65.35,6.71,268.67,Barley
70.28,25.81,20.17,17.0,59.25,6.64,348.52,Barley
20.04,13.38,32.16,17.87,50.67,6.91,266.77,Gram
99.7,30.45,38.65,23.0,44.24,6.48,258.04,Wheat
52.01,27.97,56.48,21.27,52.07,7.44,207.8,Barley
84.29,35.34,75.59,24.21,54.81,7.17,411.66,Corn
114.25,37.29,49.45,18.42,57.79,6.94,314.33,Wheat
95.25,23.24,31.85,20.9,59.71,6.51,444.74,Corn
105.11,28.9,60.85,30.12,48.67,6.99,663.32,Cotton
64.38,19.41,34.78,27.42,57.19,6.59,412.84,Groundnut
136.92,52.0,70.46,21.08,62.31,7.3,456.65,Sugarbeet
59.93,31.28,68.4,16.34,37.44,6.97,284.88,Wheat
75.41,31.28,71.02,20.38,72.46,6.78,375.36,Wheat
112.72,26.36,71.29,25.61,63.08,6.91,447.55,Corn
55.09,23.24,36.32,20.9,72.69,6.99,369.29,Pulses
48.27,28.64,28.87,21.94,64.75,6.82,382.77,Gram
152.58,42.69,61.84,20.53,75.79,7.55,454.18,Sugarbeet
78.5,26.35,39.92,22.02,48.58,6.91,241.87,Wheat
71.53,21.96,61.91,22.43,49.44,7.4,317.5,Barley
57.47,27.13,42.6,21.69,61.1,7.05,376.75,Barley
66.46,35.39,59.52,20.88,54.76,6.41,332.93,Onion
46.74,11.08,42.02,26.27,41.86,6.89,426.23,Millet
111.29,40.93,51.77,25.46,61.01,6.83,405.27,Corn
43.95,30.11,26.71,15.8,55.42,6.31,236.26,Pulses
70.96,36.79,31.1,22.73,60.26,6.73,337.72,Barley
118.63,33.6,73.9,23.95,68.15,6.78,345.28,Maize
81.67,28.1,71.62,25.59,63.37,6.51,413.96,Corn
78.45,33.44,47.46,22.99,62.82,6.68,421.22,Corn
159.87,54.01,95.35,25.11,74.07,6.96,1055.19,Sugarcane
46.36,24.26,33.23,21.28,47.16,7.04,381.24,Gram
101.43,33.48,65.95,26.25,63.57,6.73,461.79,Maize
61.46,28.06,52.88,24.16,79.99,6.65,428.54,Soybean
0.71,25.58,28.41,17.65,61.92,7.24,241.47,Gram
55.34,36.05,70.57,25.95,68.66,6.32,520.41,Soybean
37.45,37.59,52.22,25.34,53.62,6.76,508.0,Soybean
145.34,34.2,73.39,26.2,71.65,6.72,385.43,Corn
93.14,28.62,59.35,19.06,66.04,6.35,246.3,Onion
55.33,20.15,41.53,28.05,41.6,6.83,391.0,Millet
96.44,26.08,44.75,31.77,52.1,7.0,627.6,Cotton
67.77,22.2,49.1,29.79,36.92,6.59,550.85,Millet
52.49,30.07,43.32,24.96,73.5,7.1,419.74,Soybean
126.32,46.85,100.0,21.37,55.11,7.49,469.1,Sugarbeet
93.98,32.65,40.76,20.09,61.08,6.88,285.68,Onion
98.63,29.67,56.92,25.1,68.03,6.29,467.54,Tomato
60.79,17.63,35.53,20.51,49.26,6.49,320.29,Pulses
134.32,56.98,100.0,27.71,83.4,7.09,1044.42,Sugarcane
79.65,24.05,61.29,19.83,76.71,6.94,232.52,Onion
57.01,35.21,40.24,22.35,69.41,6.72,276.99,Pulses
68.93,27.69,51.67,28.65,74.91,6.86,452.48,Soybean
100.92,34.35,62.76,22.55,85.35,7.13,417.42,Corn
35.3,10.95,42.59,23.17,57.51,7.1,496.12,Groundnut
33.36,24.07,51.19,17.42,42.18,6.76,374.2,Gram
125.09,28.45,52.99,26.15,70.89,6.93,450.4,Maize
75.49,26.9,51.91,15.88,59.73,7.46,363.78,Wheat
93.55,31.94,55.15,27.37,59.36,6.84,464.71,Maize
91.52,21.39,50.11,20.44,56.38,6.47,254.05,Onion
50.21,36.2,52.77,29.33,59.55,6.85,533.34,Soybean
107.04,29.77,55.33,22.95,56.84,6.84,339.84,Corn
42.32,36.09,49.07,20.64,51.34,6.64,323.35,Wheat
51.22,17.85,49.97,27.14,48.77,6.88,498.96,Millet
75.18,29.47,78.41,30.42,61.38,6.63,1345.68,Rice
88.59,30.59,62.49,25.23,52.07,7.23,547.05,Cotton
89.5,27.67,67.15,17.76,52.23,6.74,396.11,Wheat
46.05,28.32,30.09,18.91,41.13,7.56,322.86,Barley
73.69,28.93,39.74,20.63,51.93,7.3,296.19,Wheat
40.93,32.59,37.28,16.52,54.33,6.93,316.49,Barley
118.37,30.64,62.82,24.61,70.8,6.95,385.27,Corn
99.33,29.23,62.12,23.16,66.65,6.91,464.21,Maize
38.64,16.26,59.12,26.95,46.89,6.71,389.42,Groundnut
158.78,57.31,100.0,28.15,75.84,6.63,1048.15,Sugarcane
88.62,36.72,60.55,24.72,74.1,7.16,453.72,Corn
78.78,24.87,38.55,19.19,66.44,7.25,380.71,Barley
121.72,37.06,73.41,25.06,62.52,6.68,406.46,Corn
76.26,28.09,47.29,19.46,60.37,6.47,303.41,Onion
28.54,29.72,38.91,23.72,62.36,6.45,242.75,Pulses
126.2,19.09,57.8,25.64,66.49,6.94,355.27,Maize
61.43,12.71,22.82,28.27,38.6,6.6,544.3,Millet
94.56,27.14,64.42,17.35,63.36,6.96,279.02,Onion
49.57,26.79,51.51,22.8,51.09,6.99,258.9,Gram
36.24,28.37,37.6,21.62,42.38,7.39,298.41,Gram
76.46,27.97,47.07,21.14,70.7,6.62,222.64,Onion
61.39,25.41,55.05,22.07,57.51,6.77,313.24,Pulses
25.58,37.14,42.47,28.82,69.72,6.35,467.82,Soybean
93.64,30.57,54.79,24.99,67.03,6.99,487.71,Maize
119.87,55.7,100.0,23.96,74.17,6.91,1046.26,Sugarcane
37.37,21.11,26.13,30.22,52.89,7.02,522.24,Millet
92.38,23.09,68.36,23.26,75.0,6.68,545.59,Tomato
55.54,41.84,56.82,24.5,61.09,7.23,543.77,Soybean
154.49,54.2,100.0,20.47,69.09,6.63,1094.72,Sugarcane
123.88,26.0,51.22,31.13,66.82,6.85,395.43,Corn
57.42,26.42,48.88,17.27,71.02,6.98,337.16,Barley
72.73,36.15,62.65,23.94,58.97,6.99,273.2,Onion
28.77,29.19,42.17,21.92,46.06,6.36,297.53,Pulses
82.09,32.2,36.38,30.91,53.8,6.51,547.24,Cotton
85.17,24.86,60.38,33.07,64.05,6.76,596.2,Cotton
69.54,39.12,47.6,23.73,62.21,6.98,271.21,Wheat
94.72,32.39,73.9,22.99,58.91,6.53,361.9,Maize
120.1,26.72,63.89,23.04,68.27,7.01,439.75,Corn
81.69,31.95,57.63,20.18,55.13,6.66,306.09,Onion
87.99,30.73,52.53,29.28,76.89,6.51,1291.15,Rice
63.69,29.04,47.14,21.34,60.69,7.03,362.82,Soybean
117.87,54.11,100.0,21.99,80.32,6.6,1073.47,Sugarcane
63.88,15.96,60.67,24.43,60.45,6.97,497.73,Soybean
110.26,21.43,84.6,25.83,71.65,6.91,411.46,Corn
95.82,31.18,44.01,29.49,57.4,7.5,552.24,Cotton
38.03,27.64,41.03,20.89,53.4,6.38,259.9,Gram
84.24,24.97,48.06,27.44,89.9,6.49,1330.85,Rice
41.89,18.21,38.18,33.65,44.8,6.55,496.04,Millet
101.93,33.4,50.7,25.09,61.37,6.92,343.97,Tomato
65.02,39.05,43.38,27.74,60.15,7.06,586.43,Cotton
51.43,23.42,38.07,21.99,56.28,7.25,296.7,Gram
41.75,24.01,30.07,16.74,52.72,6.38,264.31,Pulses
155.48,55.52,95.07,23.7,82.09,7.12,1082.33,Sugarcane
111.84,27.32,68.56,30.08,90.0,6.65,1428.96,Rice
62.65,30.88,13.51,30.16,52.65,6.85,580.17,Millet
146.38,59.74,91.91,22.81,79.65,6.55,1026.2,Sugarcane
126.37,52.83,94.75,18.82,65.21,6.82,487.59,Sugarbeet
56.29,26.0,60.26,19.3,53.89,6.9,344.11,Barley
160.39,58.07,91.4,22.98,69.42,6.73,1093.95,Sugarcane
63.55,32.0,46.54,19.85,59.75,7.71,296.61,Gram
17.85,23.94,28.58,25.92,62.3,6.05,517.07,Groundnut
51.92,25.71,33.3,19.88,56.19,7.08,305.83,Gram
64.28,24.09,41.52,24.37,67.19,6.52,318.84,Groundnut
150.71,59.2,91.39,25.33,67.49,7.13,998.11,Sugarcane
65.2,32.78,72.43,32.07,68.25,7.0,582.82,Cotton
33.85,24.32,35.25,18.12,69.45,7.16,350.32,Barley
51.36,25.21,33.72,21.48,49.15,6.88,366.62,Gram
139.85,55.76,100.0,27.94,78.43,6.48,1051.06,Sugarcane
106.64,31.48,57.02,27.49,79.47,6.31,418.18,Tomato
29.34,26.88,32.79,25.18,42.57,7.38,540.19,Millet
44.18,16.97,25.32,26.22,41.98,6.94,434.04,Millet
93.78,38.43,70.81,21.21,67.6,6.5,262.13,Onion
82.57,28.11,26.82,23.19,68.79,7.22,381.52,Barley
141.47,42.99,52.4,26.26,64.77,6.62,476.1,Corn
114.15,49.26,64.82,13.56,71.66,7.28,504.75,Sugarbeet
48.2,21.54,38.14,20.27,58.96,6.98,275.08,Pulses
128.44,55.29,73.77,22.01,60.63,7.55,460.52,Sugarbeet
101.34,23.23,56.06,23.29,65.01,6.57,429.71,Maize
124.98,59.88,95.26,25.13,69.53,6.25,1055.57,Sugarcane
72.6,25.76,43.31,29.28,76.64,6.59,1302.18,Rice
47.13,23.25,56.25,25.77,61.31,6.75,493.09,Soybean
133.34,27.15,54.51,28.62,87.73,7.4,433.36,Tomato
105.49,33.1,57.67,26.24,67.55,6.65,465.51,Maize
53.95,23.75,45.32,22.49,55.42,6.54,331.32,Wheat
90.84,35.02,59.05,31.38,51.13,7.34,662.78,Cotton
79.45,42.77,66.1,15.85,80.51,6.8,301.58,Onion
14.42,34.53,38.05,17.21,56.54,6.75,272.74,Pulses
106.36,38.39,55.37,21.56,67.44,6.47,440.23,Maize
77.41,31.69,68.07,27.27,69.23,6.84,457.68,Tomato
113.93,52.03,63.42,18.54,71.77,7.45,501.27,Sugarbeet
67.66,37.89,45.94,22.93,45.35,7.36,308.15,Wheat
173.31,55.41,97.01,27.04,65.21,6.77,992.17,Sugarcane
78.42,35.26,68.5,21.49,63.54,6.86,458.56,Maize
177.84,58.68,89.07,26.74,82.89,6.51,1094.17,Sugarcane
41.68,32.88,25.83,20.71,53.36,6.89,281.08,Pulses
54.58,27.02,53.28,21.33,44.78,7.03,352.21,Wheat
103.84,31.89,61.16,32.2,62.15,7.22,647.07,Cotton
77.37,28.69,55.35,30.76,49.67,7.64,674.57,Cotton
50.4,10.97,43.65,18.62,58.43,7.11,277.91,Gram
132.5,41.48,60.76,19.62,70.98,7.38,373.52,Sugarbeet
63.48,26.16,62.71,23.01,73.24,6.95,517.42,Soybean
29.16,24.08,28.2,17.16,59.94,7.32,218.29,Gram
61.09,35.59,59.61,29.63,90.0,6.89,1414.56,Rice
39.72,19.87,36.3,18.69,36.59,7.02,303.72,Pulses
115.31,36.25,63.81,23.47,75.57,6.49,540.17,Maize
110.37,29.7,77.62,29.14,71.83,6.54,450.88,Maize
115.96,20.5,43.33,19.73,62.56,6.35,323.29,Onion
106.86,33.66,62.29,29.82,76.2,6.9,493.44,Corn
54.91,10.81,13.95,32.68,42.99,6.87,598.0,Millet
156.71,54.72,97.79,27.27,70.15,6.63,1103.91,Sugarcane
56.2,31.3,25.64,21.81,47.87,6.87,304.42,Barley
150.07,52.87,80.62,18.06,65.65,6.81,464.84,Sugarbeet
42.02,21.56,48.62,26.93,86.26,6.8,537.37,Soybean
143.23,55.3,93.35,20.1,74.1,7.29,456.62,Sugarbeet
85.16,32.72,32.62,27.48,84.64,6.01,1418.65,Rice
31.67,20.28,37.0,22.6,46.46,7.29,339.37,Barley
112.2,33.84,51.99,21.45,81.84,7.08,514.32,Corn
103.11,36.66,65.97,23.71,62.7,6.48,479.97,Maize
28.09,19.78,35.26,22.29,54.95,7.45,345.44,Pulses
92.93,34.01,67.06,20.2,60.04,6.54,289.53,Onion
